0,4,536346
1,2,470356
1,4,70
1,8,55
1,16,142
1,32,218
1,64,621
1,128,1260
1,256,2613
1,512,5453
1,1024,11227
1,2048,22413
1,4096,21855
2,2,88
2,4,14
2,32,71
2,64,86
2,128,245
2,256,382
2,512,864
2,1024,1731
2,2048,3558
2,4096,3435
3,4,536346
4,8,375
4,16,1208
4,32,2209
4,64,4953
4,128,9622
4,256,19888
4,512,38787
4,1024,78874
4,2048,156806
4,4096,156729
4,8192,53
4,16384,163
4,32768,341
4,65536,696
4,131072,1414
4,262144,2896
4,524288,5797
4,1048576,11110
4,2097152,22395
4,4194304,21954
5,2,9185
5,4,8
5,4096,3
5,16384,6
5,32768,11
5,65536,7
5,131072,31
5,262144,58
5,524288,141
5,1048576,194
5,2097152,408
5,4194304,433
6,1,536346
7,8,798
7,16,886
7,32,2646
7,64,4442
7,128,9757
7,256,19232
7,512,39213
7,1024,78216
7,2048,156783
7,4096,157027
7,8192,51
7,16384,173
7,32768,312
7,65536,689
7,131072,1393
7,262144,2775
7,524288,5647
7,1048576,11406
7,2097152,22706
7,4194304,22137
8,2,10485
9,1,6
9,4,13
9,8,12
9,16,26
9,32,55
9,64,65
9,128,188
9,256,362
9,512,780
9,1024,1548
9,2048,3070
9,4096,3056
9,8192,2
9,16384,2
9,32768,7
9,65536,16
9,131072,37
9,262144,49
9,524288,113
9,1048576,209
9,2097152,440
9,4194304,429
