0,2,10485
1,2,9201
1,2097152,1282
1,4194304,2
2,2,9194
2,4096,1290
3,2,9214
3,131072,2
3,262144,5
3,524288,41
3,1048576,155
3,2097152,605
3,4194304,463
4,2,10485
5,2048,9214
5,2097152,1271
6,2048,5
7,2,9216
8,2,10485
9,2,9169
9,4194304,1316
10,2,9154
10,32768,1
10,65536,3
10,131072,6
10,262144,7
10,524288,50
10,1048576,170
10,2097152,608
10,4194304,486
11,2,10485
12,2048,9200
12,2097152,60
12,4194304,1001
12,8388608,224
13,2,9131
14,2,10485
15,1,9180
15,4096,1304
16,2,9142
16,4194304,1080
16,8388608,263
17,2,10485
18,2048,11
18,2097152,1
18,4194304,1
19,2,9163
