0,2,102
1,1,9130
1,4,1314
2,4,10444
3,2,9152
3,64,7
3,128,13
3,256,23
3,512,46
3,1024,100
3,2048,195
3,4096,477
3,8192,431
4,4,9141
4,4096,425
4,8192,877
5,2,102
6,1,9117
6,4,1327
7,4,10444
8,2,9154
8,64,11
8,128,9
8,256,24
8,512,47
8,1024,115
8,2048,213
8,4096,432
8,8192,439
9,4,9103
9,4096,445
9,8192,896
10,4,102
11,2,9160
11,64,11
11,128,21
11,256,21
11,512,48
11,1024,116
11,2048,230
11,4096,411
11,8192,426
12,4,10444
13,4,9086
13,4096,442
13,8192,914
14,4,102
15,2,9158
15,64,13
15,128,14
15,256,32
15,512,54
15,1024,118
15,2048,187
15,4096,444
15,8192,424
16,4,10444
17,4,9102
17,4096,467
17,8192,875
18,1,9131
18,524288,5
18,1048576,15
18,2097152,64
18,4194304,222
18,8388608,720
18,16777216,287
19,1,9193
19,8192,1251
20,8192,10436
20,65536,1
20,2097152,1
20,4194304,5
20,8388608,1
21,2,102
22,8192,102
23,2,102
24,2,9161
24,2048,15
24,8192,1268
25,2,10444
26,2,102
27,8192,91
27,524288,1
27,2097152,2
27,4194304,6
27,8388608,2
28,2,102
29,8192,10
29,16777216,1
30,2,10444
31,8,9178
31,262144,3
31,524288,3
31,1048576,11
31,2097152,51
31,4194304,198
31,8388608,602
31,16777216,253
32,8,9142
32,8192,1300
32,1048576,1
32,8388608,1
33,8,9144
33,8192,1298
33,1048576,1
33,2097152,1
